iter	Passed	Remaining
1328	34796	4477
1329	34823	4451
1330	34848	4424
1331	34876	4398
1332	34903	4372
1333	34928	4346
1334	34955	4320
1335	34983	4294
1336	35008	4268
1337	35035	4242
1338	35062	4215
1339	35089	4189
1340	35116	4163
1341	35140	4137
1342	35168	4111
1343	35196	4085
1344	35222	4059
1345	35251	4033
1346	35276	4006
1347	35302	3980
1348	35329	3954
1349	35355	3928
1350	35383	3902
1351	35411	3876
1352	35437	3850
1353	35464	3824
1354	35492	3798
1355	35520	3772
1356	35548	3746
1357	35576	3720
1358	35603	3693
1359	35627	3667
1360	35655	3641
1361	35682	3615
1362	35709	3589
1363	35736	3563
1364	35763	3537
1365	35791	3511
1366	35817	3484
1367	35845	3458
1368	35872	3432
1369	35900	3406
1370	35928	3380
1371	35955	3354
1372	35983	3328
1373	36014	3302
1374	36042	3276
1375	36069	3250
1376	36096	3224
1377	36123	3198
1378	36149	3171
1379	36173	3145
1380	36201	3119
1381	36225	3093
1382	36252	3066
1383	36277	3040
1384	36306	3014
1385	36333	2988
1386	36361	2962
1387	36389	2936
1388	36416	2910
1389	36444	2884
1390	36468	2857
1391	36494	2831
1392	36522	2805
1393	36549	2779
1394	36576	2753
1395	36604	2726
1396	36630	2700
1397	36657	2674
1398	36685	2648
1399	36713	2622
1400	36738	2596
1401	36765	2569
1402	36789	2543
1403	36816	2517
1404	36839	2490
1405	36865	2464
1406	36893	2438
1407	36919	2412
1408	36946	2386
1409	36975	2360
1410	37000	2333
1411	37027	2307
1412	37054	2281
1413	37080	2255
1414	37108	2229
1415	37134	2202
1416	37160	2176
1417	37185	2150
1418	37213	2124
1419	37237	2097
1420	37265	2071
1421	37289	2045
1422	37316	2019
1423	37344	1993
1424	37370	1966
1425	37398	1940
1426	37429	1914
1427	37458	1888
1428	37486	1862
1429	37513	1836
1430	37540	1810
1431	37566	1783
1432	37593	1757
1433	37620	1731
1434	37648	1705
1435	37675	1679
1436	37703	1652
1437	37728	1626
1438	37755	1600
1439	37779	1574
1440	37809	1548
1441	37835	1521
1442	37861	1495
1443	37888	1469
1444	37913	1443
1445	37939	1416
1446	37967	1390
1447	37994	1364
1448	38022	1338
1449	38047	1311
1450	38075	1285
1451	38103	1259
1452	38129	1233
1453	38156	1207
1454	38185	1180
1455	38212	1154
1456	38236	1128
1457	38264	1102
1458	38290	1076
1459	38317	1049
1460	38345	1023
1461	38373	997
1462	38400	971
1463	38427	944
1464	38454	918
1465	38479	892
1466	38505	866
1467	38533	839
1468	38559	813
1469	38586	787
1470	38615	761
1471	38643	735
1472	38667	708
1473	38696	682
1474	38722	656
1475	38748	630
1476	38776	603
1477	38803	577
1478	38828	551
1479	38855	525
1480	38882	498
1481	38910	472
1482	38937	446
1483	38965	420
1484	38991	393
1485	39019	367
1486	39047	341
1487	39074	315
1488	39100	288
1489	39127	262
1490	39153	236
1491	39181	210
1492	39205	183
1493	39233	157
1494	39261	131
1495	39287	105
1496	39312	78
1497	39340	52
1498	39368	26
1499	39428	0
